Package,Version,Priority,Depends,Imports,LinkingTo,Suggests,Enhances,License,License_is_FOSS,License_restricts_use,OS_type,Archs,MD5sum,NeedsCompilation,Additional_repositories,Author,Authors@R,Biarch,BugReports,BuildKeepEmpty,BuildManual,BuildResaveData,BuildVignettes,Built,ByteCompile,Classification/ACM,Classification/ACM-2012,Classification/JEL,Classification/MSC,Classification/MSC-2010,Collate,Collate.unix,Collate.windows,Contact,Copyright,Date,Date/Publication,Description,Encoding,KeepSource,Language,LazyData,LazyDataCompression,LazyLoad,MailingList,Maintainer,Note,Packaged,RdMacros,StagedInstall,SysDataCompression,SystemRequirements,Title,Type,URL,UseLTO,VignetteBuilder,ZipData,Path,X-CRAN-Comment,Published,Reverse depends,Reverse imports,Reverse linking to,Reverse suggests,Reverse enhances,Deadline,DOI
egg,0.4.5,NA,"gridExtra (>= 2.3), ggplot2","gtable, grid, grDevices, utils",NA,"knitr, png",NA,GPL-3,NA,NA,NA,NA,5092b6f00723cee6c47d923780cc781b,no,NA,"Baptiste Auguie [aut, cre]","c(person(""Baptiste"", ""Auguie"",
    email = ""baptiste.auguie@gmail.com"",
    role = c(""aut"", ""cre"")))",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-13 06:00:27 UTC,"Miscellaneous functions to help customise 'ggplot2' objects. High-level functions are provided to post-process 'ggplot2' layouts and allow alignment between plot panels, as well as setting panel sizes to fixed values. Other functions include a custom 'geom', and helper functions to enforce symmetric scales or add tags to facetted plots.",NA,NA,NA,NA,NA,NA,NA,Baptiste Auguie <baptiste.auguie@gmail.com>,NA,2019-07-13 05:29:16 UTC; baptiste,NA,NA,NA,NA,"Extensions for 'ggplot2': Custom Geom, Custom Themes, Plot
Alignment, Labelled Panels, Symmetric Scales, and Fixed Panel
Size",Package,NA,NA,knitr,NA,NA,NA,2019-07-13,NA,"AgroReg, baycn, CellBarcode, Certara.Xpose.NLME, coveffectsplot, EWSmethods, explainer, GABB, ggcleveland, ggrisk, heatmaply, IDMIR, mobr, plotGrouper, rifi, rifiComparative, RTNsurvival, ShapleyOutlier, tidyvpc, topr",NA,"frailtyEM, gridExtra, simRestore, Unico, visualpred",NA,NA,10.32614/CRAN.package.egg
gg.gap,1.3,NA,NA,"ggplot2, cowplot, grid",NA,NA,NA,GPL-3,NA,NA,NA,NA,a22be06d599f5942d6c58663976a3f0c,no,NA,"Jiacheng Lou [aut, cre],
  Jing Zhang [aut],
  Yizhu Lvy [aut],
  Zhi Jin [aut]","c(
    person(""Jiacheng"", ""Lou"", email = ""loujiacheng1986@foxmail.com"", role = c(""aut"", ""cre"")),
    person(""Jing"", ""Zhang"", role = ""aut""),
    person(""Yizhu"", ""Lvy"", role = ""aut""),
    person(""Zhi"", ""Jin"", role = ""aut"")
    )",NA,https://github.com/ChrisLou-bioinfo/gg.gap/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-09-30 16:10:02 UTC,It is not very easy to define segments for y-axis in a 'ggplot2' plot. gg.gap() function in this package can carry it out.,UTF-8,NA,NA,true,NA,NA,NA,Jiacheng Lou <loujiacheng1986@foxmail.com>,NA,2019-09-23 15:12:20 UTC; asus,NA,NA,NA,NA,Define Segments in y-Axis for 'ggplot2',Package,https://github.com/ChrisLou-bioinfo/gg.gap,NA,NA,NA,NA,NA,2019-09-30,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.gg.gap
gg1d,0.1.0,NA,R (>= 2.10),"assertions (>= 0.2.0), cli, ggiraph, ggplot2, ggtext,
patchwork (>= 1.3.0), rank (>= 0.1.1), rlang",NA,"covr, knitr, rmarkdown, testthat (>= 3.0.0)",NA,MIT + file LICENSE,NA,NA,NA,NA,1c87fca973194930b692eba8ca8ec5f8,no,NA,"Sam El-Kamand [aut, cre] (<https://orcid.org/0000-0003-2270-8088>),
  Children's Cancer Institute Australia [cph]","
    c(
      person(""Sam"", ""El-Kamand"", , ""sam.elkamand@gmail.com"", role = c(""aut"", ""cre""),
           comment = c(ORCID = ""0000-0003-2270-8088"")),
      person(""Children's Cancer Institute Australia"", role = c(""cph""))
     )",NA,https://github.com/selkamand/gg1d/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-12-09 19:40:02 UTC,"Streamlines exploratory data analysis by providing a turnkey approach 
  to visualising n-dimensional data which graphically reveals correlative or associative relationships 
  between 2 or more features. Represents all dataset features as distinct, vertically 
  aligned bar or tile plots, with plot types auto-selected based on whether variables are categorical or numeric.",UTF-8,NA,NA,true,NA,NA,NA,Sam El-Kamand <sam.elkamand@gmail.com>,NA,2024-12-07 01:39:11 UTC; selkamand,NA,NA,NA,NA,Exploratory Data Analysis using Tiled One-Dimensional Graphics,NA,"https://github.com/selkamand/gg1d,
https://selkamand.github.io/gg1d/",NA,NA,NA,NA,NA,2024-12-09,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.gg1d
ggalign,1.0.0,NA,ggplot2 (>= 3.5.0),"cli, grDevices, grid, gtable, lifecycle, methods, rlang,
stats, utils, vctrs (>= 0.5.0)",NA,"ggrastr, gridGraphics, magick, patchwork, ragg, knitr,
rmarkdown, scales, testthat (>= 3.0.0), vdiffr",NA,MIT + file LICENSE,NA,NA,NA,NA,2c1d074a241aef733c5ba85a292934ba,no,NA,"Yun Peng [aut, cre] (<https://orcid.org/0000-0003-2801-3332>),
  Shixiang Wang [aut] (<https://orcid.org/0000-0001-9855-7357>),
  Guangchuang Yu [ths] (<https://orcid.org/0000-0002-6485-8781>)","c(
        person(""Yun"", ""Peng"", , ""yunyunp96@163.com"", role = c(""aut"", ""cre""), comment = c(ORCID = ""0000-0003-2801-3332"")),
        person(""Shixiang"", ""Wang"", , ""w_shixiang@163.com"", role = ""aut"", comment = c(ORCID = ""0000-0001-9855-7357"")),
        person(""Guangchuang"", ""Yu"", email = ""guangchuangyu@gmail.com"", role = ""ths"", comment = c(ORCID = ""0000-0002-6485-8781""))
    )",NA,https://github.com/Yunuuuu/ggalign/issues,NA,NA,NA,NA,NA,true,NA,NA,NA,NA,NA,"'active.R' 'plot-.R' 'align-.R' 'align-hclust.R'
'align-dendrogram.R' 'align-group.R' 'align-kmeans.R'
'align-order.R' 'align-order2.R' 'align-phylo.R'
'alignpatch-.R' 'alignpatch-align_plots.R'
'alignpatch-alignpatches.R' 'alignpatch-area.R'
'alignpatch-build.R' 'alignpatch-free-align.R'
'alignpatch-free-border.R' 'alignpatch-free-guide.R'
'alignpatch-free-lab.R' 'alignpatch-free-space.R'
'alignpatch-free-vp.R' 'alignpatch-ggplot2.R'
'alignpatch-guides.R' 'alignpatch-inset.R' 'alignpatch-patch.R'
'alignpatch-patchwork.R' 'alignpatch-title.R'
'alignpatch-wrap.R' 'attributes.R' 'cross-.R' 'cross-link.R'
'cross-mark.R' 'cross-none.R' 'fortify-data-frame-.R'
'fortify-data-frame-dendrogram.R' 'fortify-matrix-.R'
'fortify-matrix-list.R' 'fortify-matrix-maftools.R'
'fortify-matrix-matrix.R' 'geom-draw.R' 'geom-gshape.R'
'geom-pie.R' 'geom-subrect.R' 'geom-tile3d.R'
'ggalign-package.R' 'ggalign.R' 'ggcross.R' 'ggfree.R'
'ggmark.R' 'ggplot-coord-circle.R' 'ggplot-facet-sector.R'
'ggplot-helper.R' 'ggplot-theme.R' 'ggplot-utils.R'
'import-standalone-assert.R' 'import-standalone-obj-type.R'
'import-standalone-pkg.R' 'import-standalone-purrr.R'
'import-standalone-tibble.R' 'layer-order.R' 'layout-.R'
'layout-align.R' 'layout-chain-.R' 'layout-chain-circle-.R'
'layout-chain-circle-build.R' 'layout-chain-circle-switch.R'
'layout-chain-operator.R' 'layout-chain-stack-.R'
'layout-chain-stack-build.R' 'layout-chain-stack-composer.R'
'layout-chain-stack-cross.R' 'layout-chain-stack-switch.R'
'layout-quad-.R' 'layout-heatmap-.R' 'layout-heatmap-build.R'
'layout-heatmap-oncoplot.R' 'layout-quad-operator.R'
'layout-operator.R' 'layout-quad-add.R' 'layout-quad-build.R'
'layout-quad-switch.R' 'layout-quad-upset.R' 'link.R' 'mark.R'
'object-name.R' 'pair-links.R' 'raster-magick.R' 'rasterise.R'
'scheme-.R' 'scheme-align.R' 'scheme-data.R' 'scheme-theme.R'
'tune.R' 'utils-assert.R' 'utils-grid.R' 'utils-rd.R' 'utils.R'
'with_quad.R' 'zzz.R'",NA,NA,NA,NA,NA,2025-03-15 23:00:02 UTC,"A 'ggplot2' extension offers various tools the creation of complex,
    multi-plot visualizations. Built on the familiar grammar of graphics, it
    provides intuitive tools to align and organize plots, making it ideal for
    complex visualizations. It excels in multi-omics research—such as genomics
    and microbiomes—by simplifying the visualization of intricate relationships
    between datasets, for example, linking genes to pathways. Whether you need
    to stack plots, arrange them around a central figure, or use a circular
    layout, 'ggalign' delivers flexibility and accuracy with minimal effort.",UTF-8,NA,en-GB,NA,NA,NA,NA,Yun Peng <yunyunp96@163.com>,NA,2025-03-14 17:34:56 UTC; yun,NA,NA,NA,NA,A 'ggplot2' Extension for Consistent Axis Alignment,NA,"https://github.com/Yunuuuu/ggalign,
https://yunuuuu.github.io/ggalign/",NA,NA,NA,NA,NA,2025-03-15,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggalign
ggaligner,0.1,NA,NA,"ggplot2, ggmsa, reshape2",NA,NA,NA,GPL-3,NA,NA,NA,NA,01779716f428a8de6ef0408ac9370779,no,NA,"Mohamed Soudy [aut, cre]",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-06-14 16:22:05 UTC,"Providing publication-ready graphs for Multiple sequence alignment. Moreover, it provides a unique solution for visualizing the multiple sequence alignment without the need to do the alignment in each run which is a big limitation in other available packages.",UTF-8,NA,NA,NA,NA,NA,NA,Mohamed Soudy <MohmedSoudy2009@gmail.com>,NA,2023-06-13 18:43:32 UTC; Soudy,NA,NA,NA,NA,"Visualizing Sequence Alignment by Generating Publication-Ready
Plots",NA,NA,NA,NA,NA,NA,NA,2023-06-14,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggaligner
ggalignment,1.0.2,NA,R (>= 3.4),"dplyr (>= 1.0.0), ggimage (>= 0.2.0), ggplot2 (>= 3.3.0),
magrittr (>= 1.0.0), rlang (>= 0.1.2)",NA,"rmarkdown (>= 2.0.0), knitr (>= 1.0), testthat (>= 3.0.0),
vdiffr (>= 1.0.0), roxygen2",NA,MIT + file LICENSE,NA,NA,NA,NA,6291febcb69d65d9531680f0fbbcbd92,no,NA,"Afton Coombs [aut, cre, cph],
  Tan Ho [ctb] (<https://orcid.org/0000-0001-8388-5155>)","
    c(person(given = ""Afton"",
            family = ""Coombs"",
            role = c(""aut"", ""cre"", ""cph""),
            email = ""aftoncoombs@gmail.com""),
      person(given = ""Tan"", 
            family = ""Ho"", 
            role = c(""ctb""), 
            email = ""tan@tanho.ca"", 
            comment = c(ORCID = ""0000-0001-8388-5155"")))",NA,https://github.com/aftonsteps/ggalignment/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2025-02-24 05:50:02 UTC,"'D&D' alignment charts show 9 boxes with values for good
    through evil and values for chaotic through lawful. This package
    easily creates these alignment charts from user-provided image paths
    and alignment values.",UTF-8,NA,NA,true,NA,NA,NA,Afton Coombs <aftoncoombs@gmail.com>,NA,2025-02-24 01:23:05 UTC; aftoncoombs,NA,NA,NA,NA,Plots 'D&D'-Style Alignment Charts,Package,https://github.com/aftonsteps/ggalignment,NA,knitr,NA,NA,NA,2025-02-24,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggalignment
ggallin,0.1.1,NA,ggplot2 (>= 2.2.1),"scales, grid",NA,"knitr, testthat",NA,LGPL-3,NA,NA,NA,NA,451a2787b14cde14c19b96acdab48e10,no,NA,"Steven E. Pav [aut, cre]","c(person(c(""Steven"", ""E.""), ""Pav"", role=c(""aut"",""cre""), 
    email=""shabbychef@gmail.com""))",NA,https://github.com/shabbychef/ggallin/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'geom_cloud.R' 'ggallin.R' 'transforms.R',NA,NA,NA,NA,2017-10-01,2017-10-02 23:24:58 UTC,"Extra geoms and scales for 'ggplot2', including geom_cloud(),
  a Normal density cloud replacement for errorbars;
  transforms ssqrt_trans and pseudolog10_trans, which are loglike but 
  appropriate for negative data; interp_trans() and warp_trans() which
  provide scale transforms based on interpolation;
  and an infix compose operator for scale transforms.",NA,NA,NA,NA,NA,NA,NA,Steven E. Pav <shabbychef@gmail.com>,NA,2017-10-02 03:25:49 UTC; spav,NA,NA,NA,NA,Grab Bag of 'ggplot2' Functions,Package,https://github.com/shabbychef/ggallin,NA,NA,NA,NA,NA,2017-10-02,NA,NA,NA,NA,NA,NA,10.32614/CRAN.package.ggallin
ggalluvial,0.12.5,NA,"R (>= 3.6), ggplot2 (>= 2.2)","stats, dplyr (>= 0.7), tidyr (>= 0.7), lazyeval, rlang,
tidyselect",NA,"grid, alluvial, testthat, knitr, rmarkdown, babynames,
sessioninfo, ggrepel, shiny (>= 1.4.0.2), htmltools, sp (>=
1.4-0), ggfittext (>= 0.6), vdiffr (>= 0.2)",NA,GPL-3,NA,NA,NA,NA,fa28d48c3a3b6f8c8a61ee6436204e27,no,NA,"Jason Cory Brunson [aut, cre],
  Quentin D. Read [aut]","c(
    person(given = ""Jason Cory"",
           family = ""Brunson"",
           role = c(""aut"", ""cre""),
           email = ""cornelioid@gmail.com""),
    person(given = ""Quentin D."",
           family = ""Read"",
           role = 'aut'))",NA,https://github.com/corybrunson/ggalluvial/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2023-02-22 09:50:02 UTC,"Alluvial plots use variable-width ribbons and stacked bar plots to
    represent multi-dimensional or repeated-measures data with categorical or
    ordinal variables; see Riehmann, Hanfler, and Froehlich (2005)
    <doi:10.1109/INFVIS.2005.1532152> and Rosvall and Bergstrom (2010)
    <doi:10.1371/journal.pone.0008694>.
    Alluvial plots are statistical graphics in the sense of Wilkinson (2006)
    <doi:10.1007/0-387-28695-0>; they share elements with Sankey diagrams and
    parallel sets plots but are uniquely determined from the data and a small
    set of parameters. This package extends Wickham's (2010)
    <doi:10.1198/jcgs.2009.07098> layered grammar of graphics to generate
    alluvial plots from tidy data.",UTF-8,NA,NA,true,NA,NA,NA,Jason Cory Brunson <cornelioid@gmail.com>,NA,2023-02-13 15:44:19 UTC; jason.brunson,NA,NA,NA,NA,Alluvial Plots in 'ggplot2',Package,http://corybrunson.github.io/ggalluvial/,NA,knitr,NA,NA,NA,2023-02-22,multiWGCNA,"bandle, easyalluvial, ethnobotanyR, ggtaxplot, immunarch, iotarelr, LorMe, MultiRNAflow, MutationalPatterns, pacta.multi.loanbook, Platypus, projectR, scRepertoire, SeuratExplorer, standR, vvshiny",NA,"ISAnalytics, LegATo, longmixr, metasnf, MicrobiotaProcess, MiscMetabar, nuts, pcutils, plotly, plotthis, profiplots, SCpubr, sigminer",NA,NA,10.32614/CRAN.package.ggalluvial
GGally,2.2.1,NA,"R (>= 3.1), ggplot2 (>= 3.4.4)","dplyr (>= 1.0.0), tidyr (>= 1.3.0), grDevices, grid, ggstats,
gtable (>= 0.2.0), lifecycle, plyr (>= 1.8.3), progress,
RColorBrewer, rlang, scales (>= 1.1.0), utils, magrittr",NA,"broom (>= 0.7.0), broom.helpers (>= 1.3.0), chemometrics,
geosphere (>= 1.5-1), ggforce, Hmisc, igraph (>= 1.0.1),
intergraph (>= 2.0-2), labelled, maps (>= 3.1.0), mapproj,
nnet, network (>= 1.17.1), scagnostics, sna (>= 2.3-2),
survival, rmarkdown, roxygen2, testthat, crosstalk, knitr,
spelling, emmeans, vdiffr",NA,GPL (>= 2.0),NA,NA,NA,NA,9acff4b4e2fd3197ac98fada1266434a,no,NA,"Barret Schloerke [aut, cre],
  Di Cook [aut, ths],
  Joseph Larmarange [aut],
  Francois Briatte [aut],
  Moritz Marbach [aut],
  Edwin Thoen [aut],
  Amos Elberg [aut],
  Ott Toomet [ctb],
  Jason Crowley [aut],
  Heike Hofmann [ths],
  Hadley Wickham [ths]","c(
    person(""Barret"", ""Schloerke"", role = c(""aut"", ""cre""), email = ""schloerke@gmail.com""),
    person(""Di"", ""Cook"", role = c(""aut"", ""ths""), email = ""dicook@monash.edu""),
    person(""Joseph"", ""Larmarange"", role = ""aut"", email = ""joseph@larmarange.net""),
    person(""Francois"", ""Briatte"", role = ""aut"", email = ""f.briatte@gmail.com""),
    person(""Moritz"", ""Marbach"", role = ""aut"", email = ""mmarbach@mail.uni-mannheim.de""),
    person(""Edwin"", ""Thoen"", role = ""aut"", email = ""edwinthoen@gmail.com""),
    person(""Amos"", ""Elberg"", role = ""aut"", email = ""amos.elberg@gmail.com""),
    person(""Ott"", ""Toomet"", role = ""ctb"", email = ""otoomet@gmail.com""),
    person(""Jason"", ""Crowley"", role = ""aut"", email = ""crowley.jason.s@gmail.com""),
    person(""Heike"", ""Hofmann"", role = ""ths"", email = ""hofmann@iastate.edu""),
    person(""Hadley"", ""Wickham"", role = ""ths"", email = ""h.wickham@gmail.com"")
    )",NA,https://github.com/ggobi/ggally/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2024-02-14 00:53:32 UTC,"
    The R package 'ggplot2' is a plotting system based on the grammar of graphics.
    'GGally' extends 'ggplot2' by adding several functions
    to reduce the complexity of combining geometric objects with transformed data.
    Some of these functions include a pairwise plot matrix, a two group pairwise plot
    matrix, a parallel coordinates plot, a survival plot, and several functions to
    plot networks.",UTF-8,NA,en-US,true,NA,yes,NA,Barret Schloerke <schloerke@gmail.com>,NA,2024-02-13 19:02:36 UTC; barret,lifecycle,NA,NA,openssl,Extension to 'ggplot2',Package,"https://ggobi.github.io/ggally/, https://github.com/ggobi/ggally",NA,NA,NA,NA,NA,2024-02-14,"freqparcoord, GGPA, RHMS","adventr, alevinQC, AntMAN, BasketballAnalyzeR, BayesSurvive, BGGM, bootcluster, brinton, CARBayes, CARBayesST, Certara.Xpose.NLME, CeTF, CINNA, citrus, CluMSID, clustrd, communication, conserveR, corrViz, cvasi, cyanoFilter, demodelr, DescribeDisplay, discourseGT, EGAnet, ezEDA, fastml, fect, finalfit, fingerPro, FPDclustering, gatom, GeomxTools, ggbio, ggmcmc, GGMncv, GGMnonreg, ggPMX, ggquickeda, ggtreeSpace, growthPheno, gsynth, GUEST, hmer, ICSClust, ICtest, imageData, InflectSSP, iNZightRegression, isomiRs, ITNr, jarbes, jmv, jsmodule, klovan, MAINT.Data, MCbiclust, metan, metanetwork, mgcViz, mitch, MixLFA, mlergm, mlr3shiny, MRPC, MSclust, multilandr, NetworkChange, NPflow, OutliersO3, PAsso, PhosR, PopGenReport, protGear, psbcSpeedUp, psyntur, randomForestExplainer, rassta, rbioacc, robCompositions, RQdeltaCT, rrr, rwty, scPipe, SeqSQC, simmr, SmartEDA, SpectralClMixed, staRdom, statVisual, systemPipeTools, tidyCDISC, tidycomm, tip, TOAST, TVTB, UNCOVER, vidger, vivid, webSDM, WOTPLY, WRSS, xpose.xtras",NA,"airGR, AlleleShift, AlpsNMR, BAS, BindingSiteFinder, bruceR, cassowaryr, clustTMB, codebook, comparer, counterfactuals, coveffectsplot, covsim, cubble, dataquieR, descriptio, DEXiR, ecostats, EMMIXmfa, fic, fpp2, GENESIS, ggpcp, ibawds, innsight, ipsRdbs, loon.ggplot, MAST, miaSim, microeco, mlr3viz, mlrMBO, MOFA2, mvMAPIT, nzelect, ParamHelpers, pcpr, plotly, PPforest, qualvar, QuantNorm, ridgetorus, robustbase, rosetta, rsurv, sageR, seer, shapr, SHELF, SightabilityModel, SimBIID, simdata, spinifex, spup, survstan, tidybulk, tidyseurat, tidySingleCellExperiment, tsfeatures, ubiquity, ufs, ushr, velociraptor, vsp, WRS2",NA,NA,10.32614/CRAN.package.GGally
ggalt,0.4.0,NA,"R (>= 3.2.0), ggplot2 (>= 2.2.1)","utils, graphics, grDevices, dplyr, RColorBrewer, KernSmooth,
proj4, scales, grid, gtable, ash, maps, MASS, extrafont,
tibble, plotly (>= 3.4.1)",NA,"testthat, gridExtra, knitr, rmarkdown, ggthemes, reshape2",NA,AGPL + file LICENSE,NA,NA,NA,NA,577a558a4d4edfb47160b64f6a3a951c,no,NA,"Bob Rudis [aut, cre],
  Ben Bolker [aut, ctb] (Encircling & additional splines),
  Ben Marwick [ctb] (General codebase cleanup),
  Jan Schulz [aut, ctb] (Annotations),
  Rosen Matev [ctb] (Original annotate_textp implementation on
    stackoverflow),
  ProPublica [dtc] (StateFace font)","c(
      person(""Bob"", ""Rudis"", email = ""bob@rud.is"", role = c(""aut"", ""cre"")),
      person(""Ben"", ""Bolker"", comment=""Encircling & additional splines"", role = c(""aut"", ""ctb"")),
      person(""Ben"", ""Marwick"", comment=""General codebase cleanup"", role = c(""ctb"")),
      person(""Jan"", ""Schulz"", comment=""Annotations"", role = c(""aut"", ""ctb"")),
      person(""Rosen"", ""Matev"", role=""ctb"", comment=""Original annotate_textp implementation on stackoverflow""),
      person(""ProPublica"", role=""dtc"", comment=""StateFace font"")
    )",NA,https://github.com/hrbrmstr/ggalt/issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"'annotate_textp.r' 'coord_proj.r' 'formatters.r' 'fortify.r'
'geom2plotly.r' 'geom_ash.r' 'geom_bkde.r' 'geom_bkde2d.r'
'geom_dumbbell.R' 'geom_cartogram.r' 'geom_encircle.r'
'geom_lollipop.r' 'geom_table.r' 'geom_twoway_bar.r'
'geom_xspline.r' 'geom_xspline2.r' 'stat-stepribbon.r'
'ggalt-package.r' 'grob_absolute.r' 'guide_axis.r'
'stateface.r' 'utils.r' 'zzz.r'",NA,NA,NA,NA,NA,2017-02-15 18:16:00,"A compendium of new geometries, coordinate systems, statistical 
    transformations, scales and fonts for 'ggplot2', including splines, 1d and 2d densities, 
    univariate average shifted histograms, a new map coordinate system based on the 
    'PROJ.4'-library along with geom_cartogram() that mimics the original functionality of 
    geom_map(), formatters for ""bytes"", a stat_stepribbon() function, increased 'plotly'
    compatibility and the 'StateFace' open source font 'ProPublica'. Further new 
    functionality includes lollipop charts, dumbbell charts, the ability to encircle
    points and coordinate-system-based text annotations.",UTF-8,NA,NA,true,NA,NA,NA,Bob Rudis <bob@rud.is>,NA,2017-02-14 18:43:58 UTC; bob,NA,NA,NA,NA,"Extra Coordinate Systems, 'Geoms', Statistical Transformations,
Scales and Fonts for 'ggplot2'",NA,https://github.com/hrbrmstr/ggalt,NA,knitr,NA,NA,NA,2017-02-15,NA,"colorrepel, DDPNA, ggmsa, TransProR, vivid",NA,"causalCmprsk, EnhancedVolcano, PCAtools, tbrf, textplot, tntpr, topicmodels.etm",NA,2025-04-14,10.32614/CRAN.package.ggalt
